ID,Pop,Sexo,Localidade,Maturacao,Habitat,Comp_total
1_0X_PP_04_23_070,CN,-,PP,A,Costeiro,260
1_0X_PP_04_23_071,CN,-,PP,A,Costeiro,267
1_0X_PP_04_23_072,CN,F,PP,A,Costeiro,266
1_0X_PP_04_23_073,CN,F,PP,A,Costeiro,280
SINPESCA-148_1_0X_IV_F7,CN,-,SIN AL,A,Costeiro,223
BP3-20-03-19-8_1_25X_XXVI_K10,CN,-,BSA,J,Costeiro,127
CBC2-06-51_2_0X_XXVI_A15,CN,F,BSA,J,Costeiro,72
SINPESCA-1220_1_0X_VI_N19,CN,F,SIN AL,J,Costeiro,193
CBC2-09-633_2_0X_XXIII_E1,CN,F,SIN AL,J,Costeiro,83
SINPESCA-674_1_0X_V_N16,CN,F,SIN AL,J,Costeiro,188
1_0X_PP_04_23_060,HA,-,PP,J,Recifal,93
1_0X_PP_04_23_061,HA,-,PP,J,Recifal,113
1_0X_PP_04_23_063,HA,-,PP,J,Recifal,96
1_0X_PP_04_23_064,HA,-,PP,J,Recifal,106
1_0X_PP_04_23_065,HA,-,PP,J,Recifal,96
1_0X_PP_04_23_069,HA,F,PP,A,Recifal,212
SINPESCA-376_1_0X_V_B1,HA,M,SIN AL,A,Recifal,205
SINPESCA-380_1_0X_V_B5,HA,F,SIN AL,A,Recifal,205
SINPESCA-381_1_0X_V_B6,HA,M,SIN AL,A,Recifal,220
SINPESCA-607_1_0X_V_L9,HA,F,SIN AL,A,Recifal,200
1_0X_JLGF_20_01_003,HC,F,JARAGUA,J,Costeiro,84
1_0X_JLGF_20_01_004,HC,F,JARAGUA,J,Costeiro,99
1_0X_JLGF_20_01_005,HC,F,JARAGUA,J,Costeiro,107
1_0X_JLGF_20_01_007,HC,F,JARAGUA,J,Costeiro,97
1_0X_JLGF_20_01_008,HC,F,JARAGUA,J,Costeiro,95
1_0X_JLGF_20_01_012,HC,M,JARAGUA,A,Costeiro,135
1_0X_JLGF_20_01_015,HC,-,JARAGUA,A,Costeiro,135
1_0X_JLGF_20_01_024,HC,M,JARAGUA,A,Costeiro,129
1_0X_JLGF_20_01_025,HC,M,JARAGUA,A,Costeiro,137
1_0X_JLGF_20_01_026,HC,M,JARAGUA,A,Costeiro,140
1_0X_PP_23_04_001,HPL,F,PP,A,Costeiro-Recifal,230
1_0X_PP_23_04_002,HPL,F,PP,A,Costeiro-Recifal,238
1_0X_PP_23_04_003,HPL,F,PP,A,Costeiro-Recifal,246
1_0X_PP_23_04_004,HPL,F,PP,A,Costeiro-Recifal,212
1_0X_PP_23_04_005,HPL,M,PP,A,Costeiro-Recifal,193
1_0X_PP_23_04_006,HPL,F,PP,A,Costeiro-Recifal,216
1_0X_PP_23_04_007,HPL,F,PP,A,Costeiro-Recifal,248
1_0X_PP_23_04_008,HPL,F,PP,A,Costeiro-Recifal,257
1_0X_PP_23_04_009,HPL,F,PP,A,Costeiro-Recifal,224
1_0X_PP_23_04_010,HPL,-,PP,J,Costeiro-Recifal,105
1_0X_PP_23_04_011,HPL,-,PP,J,Costeiro-Recifal,138
1_0X_PP_04_23_015,HPR,M,PP,A,Costeiro-Recifal,203
1_0X_PP_04_23_016,HPR,M,PP,A,Costeiro-Recifal,204
1_0X_PP_04_23_017,HPR,M,PP,A,Costeiro-Recifal,277
1_0X_PP_04_23_018,HPR,F,PP,A,Costeiro-Recifal,243
1_0X_PP_04_23_019,HPR,F,PP,A,Costeiro-Recifal,228
1_0X_PP_04_23_021,HPR,F,PP,A,Costeiro-Recifal,200
1_25X_PP_04_23_014,HPR,F,PP,J,Costeiro-Recifal,162
1_25X_PP_04_23_020,HPR,F,PP,A,Costeiro-Recifal,187
